HC_1	HC_2	HC_3	HC_4	HC_5	HC_6	BCN_1	BCN_2	BCN_3	BCN_4	BCN_5	BCN_6	BCP_1	BCP_2	BCP_3	BCP_4	BCP_5	BCP_6	Peptides	Razor_unique_peptides	Unique_peptides	Sequence_coverage_	Unique_razor_sequence_coverage_	Unique_sequence_coverage_	Mol_weight_kDa_	Q_value	Score	Intensity	MS_MS_count	Peptide_counts_all_	Peptide_counts_razor_unique_	Peptide_counts_unique_	Number_of_proteins	Protein_IDs	Majority_protein_IDs	Protein_names	Gene_names	id	Fasta.headers
7.11934	7.86398	7.23689	7.25816	7.35291	7.32243	8.11465	8.22644	7.61508	6.98159	8.54355	8.1628	7.65119	8.43198	8.84442	7.64379	8.03461	7.3935	5	5	3	49.6	49.6	26.1	12.332	0	140.52	1747000000	49	5	5	3	1	A0A075B6K5	A0A075B6K5		IGLV3-9	6	sp|A0A075B6K5|LV39_HUMAN Immunoglobulin lambda variable 3-9 OS=Homo sapiens OX=9606 GN=IGLV3-9 PE=3 SV=1
8.79109	7.00875	9.07633	7.37926	8.9465	9.15493	9.3553	7.0359	9.42149	9.4001	9.03818	8.86936	7.51819	8.9465	7.3935	9.49311	8.79109	9.16623	5	4	4	38.3	38.3	38.3	13.079	0	323.31	15426000000	104	NaN	NaN	NaN	2	A0A0C4DH68;A0A075B6R9	A0A0C4DH68;A0A075B6R9		IGKV2-24;IGKV2D-24	9	sp|A0A0C4DH68|KV224_HUMAN Immunoglobulin kappa variable 2-24 OS=Homo sapiens OX=9606 GN=IGKV2-24 PE=3 SV=1;sp|A0A075B6R9|KVD24_HUMAN Probable non-functional immunoglobulin kappa variable 2D-24 OS=Homo sapiens OX=9606 GN=IGKV2D-24 PE=5 SV=1
7.82222	7.89958	8.24524	7.66267	7.79338	7.14144	7.4855	7.46976	8.64434	7.9235	7.34227	6.98159	7.43145	8.48587	8.65561	7.07097	8.45464	7.68525	3	3	3	26.1	26.1	26.1	12.625	0	23.654	2316700000	38	NaN	NaN	NaN	2	A0A0A0MRZ8;P04433	A0A0A0MRZ8;P04433	Ig kappa chain V-III region VG	IGKV3D-11	15	sp|A0A0A0MRZ8|KVD11_HUMAN Immunoglobulin kappa variable 3D-11 OS=Homo sapiens OX=9606 GN=IGKV3D-11 PE=3 SV=6;sp|P04433|KV311_HUMAN Immunoglobulin kappa variable 3-11 OS=Homo sapiens OX=9606 GN=IGKV3-11 PE=1 SV=1
6.9359	7.55306	7.0552	8.76539	7.09185	8.95438	8.38099	7.23009	7.35291	9.01776	8.72984	8.50087	8.01042	8.37338	7.50877	7.15615	8.88305	7.52987	5	4	3	33.6	26.1	26.1	13.056	0	28.797	3444400000	46	5	4	3	1	A0A0A0MS15	A0A0A0MS15		IGHV3-49	18	sp|A0A0A0MS15|HV349_HUMAN Immunoglobulin heavy variable 3-49 OS=Homo sapiens OX=9606 GN=IGHV3-49 PE=3 SV=1
9.4001	8.196	8.9941	8.80019	7.84877	9.20343	9.12258	7.48865	8.31557	7.41881	8.80019	7.60124	8.63407	8.82317	8.90542	9.12258	10.4176	8.80019	7	7	5	37	37	26.9	12.926	0	313.66	29332000000	150	7	7	5	1	A0A0B4J1V0	A0A0B4J1V0		IGHV3-15	21	sp|A0A0B4J1V0|HV315_HUMAN Immunoglobulin heavy variable 3-15 OS=Homo sapiens OX=9606 GN=IGHV3-15 PE=3 SV=1
8.22644	8.16855	8.34973	8.59671	7.15615	8.69181	7.19784	8.71903	7.35033	7.52217	7.24872	7.58977	9.03818	8.75068	7.60624	7.25816	7.32936	8.42119	5	3	3	53.8	35	35	12.839	0	27.009	4021200000	29	5	3	3	1	A0A0B4J1X5	A0A0B4J1X5		IGHV3-74	24	sp|A0A0B4J1X5|HV374_HUMAN Immunoglobulin heavy variable 3-74 OS=Homo sapiens OX=9606 GN=IGHV3-74 PE=3 SV=1
8.24524	8.10112	8.66145	7.07722	7.51352	8.1628	8.9941	7.51352	6.9359	9.21447	8.64434	8.58409	8.24943	8.40471	8.53404	6.90827	8.69181	7.32457	7	5	5	58.8	48.7	48.7	13.203	0	313.76	5961400000	62	7	5	5	1	A0A0B4J1Y9	A0A0B4J1Y9		IGHV3-72	27	sp|A0A0B4J1Y9|HV372_HUMAN Immunoglobulin heavy variable 3-72 OS=Homo sapiens OX=9606 GN=IGHV3-72 PE=3 SV=1
6.84221	7.02696	7.68525	7.64682	6.80728	7.25216	7.97797	7.2856	7.50877	7.11934	8.36517	6.87326	7.30285	8.55555	7.10006	7.57945	8.34973	7.56593	5	5	3	56.4	56.4	35.9	12.674	0	38.678	1211400000	53	5	5	3	1	A0A0C4DH38	A0A0C4DH38		IGHV5-51	37	sp|A0A0C4DH38|HV551_HUMAN Immunoglobulin heavy variable 5-51 OS=Homo sapiens OX=9606 GN=IGHV5-51 PE=3 SV=1
8.08705	6.89817	6.89817	9.12795	7.04404	8.33081	6.86382	7.48071	7.61971	8.28273	6.98159	8.63407	9.02442	6.92748	9.06749	7.07722	9.15493	7.46654	4	4	4	38.5	38.5	38.5	12.822	0	100.86	4787300000	39	4	4	4	1	A0A0J9YX35	A0A0J9YX35			48	sp|A0A0J9YX35|HV64D_HUMAN Immunoglobulin heavy variable 3-64D OS=Homo sapiens OX=9606 GN=IGHV3-64D PE=3 SV=1
8.67153	9.26253	9.09682	9.20343	8.33081	8.9941	8.82317	7.22199	9.15493	9.22764	9.37244	9.19394	7.55698	9.5192	9.09682	9.44814	10.1938	9.10553	7	7	2	45.8	45.8	20	13.085	0	90.114	26417000000	89	7	7	2	1	A2NJV5	A2NJV5		IGKV A18	57	sp|A2NJV5|KV229_HUMAN Immunoglobulin kappa variable 2-29 OS=Homo sapiens OX=9606 GN=IGKV2-29 PE=3 SV=2
7.83322	8.81313	8.81313	9.19394	8.04195	8.90542	9.07633	8.86936	8.46844	8.66145	8.7778	9.12258	8.60522	9.07633	8.89336	8.11465	9.53478	8.91828	9	2	2	43.5	12.6	12.6	23.063	0	40.592	14461000000	139	NaN	NaN	NaN	2	B9A064;P0CG04	B9A064;P0CG04	Immunoglobulin lambda-like polypeptide 5;Ig lambda-1 chain C regions	IGLL5;IGLC1	64	sp|B9A064|IGLL5_HUMAN Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens OX=9606 GN=IGLL5 PE=2 SV=2;sp|P0CG04|IGLC1_HUMAN Immunoglobulin lambda constant 1 OS=Homo sapiens OX=9606 GN=IGLC1 PE=1 SV=1
7.01869	8.30801	8.22644	7.33816	6.75778	7.213	7.76856	7.35684	7.67554	7.95742	7.76433	7.82537	7.60624	9.20343	8.50087	7.55306	7.56593	7.61508	19	19	19	41	41	41	75.702	0	124.96	1806500000	66	19	19	19	1	O00187	O00187	Mannan-binding lectin serine protease 2;Mannan-binding lectin serine protease 2 A chain;Mannan-binding lectin serine protease 2 B chain	MASP2	111	sp|O00187|MASP2_HUMAN Mannan-binding lectin serine protease 2 OS=Homo sapiens OX=9606 GN=MASP2 PE=1 SV=4
8.54355	8.52683	8.33528	8.30801	8.63407	8.253	8.30801	8.05623	8.1628	8.07834	8.10112	6.77546	7.14144	7.97797	7.17431	9.05206	8.11465	8.38869	13	13	11	60.1	60.1	51.8	24.608	0	164.64	4863700000	139	13	13	11	1	O00194	O00194	Ras-related protein Rab-27B	RAB27B	112	sp|O00194|RB27B_HUMAN Ras-related protein Rab-27B OS=Homo sapiens OX=9606 GN=RAB27B PE=1 SV=4
8.66145	8.59671	8.37338	8.54355	8.75068	8.50087	8.49374	8.24943	8.2958	8.37338	7.94645	8.08705	7.56258	7.41078	7.37926	8.16855	8.22107	8.47666	12	12	12	56.8	56.8	56.8	26.922	0	90.373	5327900000	159	12	12	12	1	O00299	O00299	Chloride intracellular channel protein 1	CLIC1	114	sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4
7.35291	7.39106	7.37926	7.00875	7.56922	7.4074	7.69453	7.63044	7.5008	7.66267	7.60124	7.36888	7.75371	7.01869	7.14144	7.91797	7.46654	7.30285	16	16	16	31.5	31.5	31.5	81.876	0	54.28	501280000	31	16	16	16	1	O00429	O00429	Dynamin-1-like protein	DNM1L	116	sp|O00429|DNM1L_HUMAN Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=2
7.53242	7.4929	7.74705	7.65573	7.37617	7.23991	6.99599	7.54181	7.14664	7.29927	7.4855	7.41881	7.59586	7.6237	7.75705	7.39106	7.0552	7.30946	3	3	3	20.6	20.6	20.6	23.147	0	41.073	415820000	17	3	3	3	1	O00501	O00501	Claudin-5	CLDN5	118	sp|O00501|CLD5_HUMAN Claudin-5 OS=Homo sapiens OX=9606 GN=CLDN5 PE=1 SV=1
8.33081	8.54867	8.52683	8.74113	8.27091	8.43935	8.16855	9.38652	9.3553	9.5904	9.32449	8.93019	8.79109	9.15493	8.98153	8.57962	9.9583	9.22764	15	15	15	68.1	68.1	68.1	32.444	0	323.31	15737000000	255	15	15	15	1	O00560	O00560	Syntenin-1	SDCBP	119	sp|O00560|SDCB1_HUMAN Syntenin-1 OS=Homo sapiens OX=9606 GN=SDCBP PE=1 SV=1
